Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
TOYOTA Avalon,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXV03.5M5B,midsize car,5,22,31,25,5,No,352
TOYOTA Avalon,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXV03.5M5B,midsize car,5,22,31,25,5,No,352
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.5P33,midsize car,7,43,43,43,8,Yes,203
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.5P33,midsize car,7,43,43,43,8,Yes,203
TOYOTA Avalon Hybrid XLE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.5P33,midsize car,7,43,44,44,8,Yes,201
TOYOTA Avalon Hybrid XLE,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.5P33,midsize car,7,43,44,44,8,Yes,201
TOYOTA Avalon XLE,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXV03.5M5B,midsize car,5,22,32,26,5,No,341
TOYOTA Avalon XLE,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXV03.5M5B,midsize car,5,22,32,26,5,No,341
TOYOTA C-HR,2,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NTYXV02.0K6B,small car,3,27,31,29,6,No,305
TOYOTA C-HR,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NTYXV02.0K6B,small car,3,27,31,29,6,No,305
TOYOTA Camry,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXV03.5M5B,midsize car,5,22,33,26,5,No,338
