region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV sales,Cars,PHEV,2014,sales,340
Italy,Historical,EV sales,Cars,BEV,2014,sales,1000
Italy,Historical,EV sales,Cars,BEV,2015,sales,1400
Italy,Historical,EV sales,Cars,PHEV,2015,sales,740
Italy,Historical,EV sales,Cars,PHEV,2016,sales,1400
Italy,Historical,EV sales,Cars,BEV,2016,sales,1400
Italy,Historical,EV sales,Cars,BEV,2017,sales,2000
Italy,Historical,EV sales,Cars,PHEV,2017,sales,2900
Italy,Historical,EV sales,Cars,PHEV,2018,sales,4800
Italy,Historical,EV sales,Cars,BEV,2018,sales,5000
Italy,Historical,EV sales,Cars,BEV,2019,sales,11000
Italy,Historical,EV sales,Cars,PHEV,2019,sales,6500
Italy,Historical,EV sales,Cars,PHEV,2020,sales,27000
Italy,Historical,EV sales,Cars,BEV,2020,sales,32000
Italy,Historical,EV sales,Cars,BEV,2021,sales,67000
Italy,Historical,EV sales,Cars,PHEV,2021,sales,71000
Japan,Historical,EV sales,Cars,BEV,2010,sales,2400
Japan,Historical,EV sales,Cars,BEV,2011,sales,13000
Japan,Historical,EV sales,Cars,PHEV,2011,sales,15
Japan,Historical,EV sales,Cars,PHEV,2012,sales,11000
Japan,Historical,EV sales,Cars,BEV,2012,sales,13000
Japan,Historical,EV sales,Cars,BEV,2013,sales,15000
Japan,Historical,EV sales,Cars,PHEV,2013,sales,14000
Japan,Historical,EV sales,Cars,PHEV,2014,sales,16000
Japan,Historical,EV sales,Cars,BEV,2014,sales,16000
Japan,Historical,EV sales,Cars,BEV,2015,sales,10000
Japan,Historical,EV sales,Cars,PHEV,2015,sales,14000
Japan,Historical,EV sales,Cars,PHEV,2016,sales,9400
Japan,Historical,EV sales,Cars,BEV,2016,sales,15000
Japan,Historical,EV sales,Cars,BEV,2017,sales,18000
Japan,Historical,EV sales,Cars,PHEV,2017,sales,36000
Japan,Historical,EV sales,Cars,PHEV,2018,sales,23000
Japan,Historical,EV sales,Cars,BEV,2018,sales,27000
Japan,Historical,EV sales,Cars,BEV,2019,sales,21000
Japan,Historical,EV sales,Cars,PHEV,2019,sales,18000
Japan,Historical,EV sales,Cars,PHEV,2020,sales,15000
Japan,Historical,EV sales,Cars,BEV,2020,sales,15000
Japan,Historical,EV sales,Cars,BEV,2021,sales,22000
Japan,Historical,EV sales,Cars,PHEV,2021,sales,23000
Korea,Historical,EV sales,Cars,BEV,2010,sales,61
Korea,Historical,EV sales,Cars,BEV,2011,sales,270
Korea,Historical,EV sales,Cars,BEV,2012,sales,510
Korea,Historical,EV sales,Cars,BEV,2013,sales,600
Korea,Historical,EV sales,Cars,BEV,2014,sales,1300
Korea,Historical,EV sales,Cars,BEV,2015,sales,3100
Korea,Historical,EV sales,Cars,PHEV,2015,sales,250
Korea,Historical,EV sales,Cars,BEV,2016,sales,4700
Korea,Historical,EV sales,Cars,PHEV,2016,sales,330
Korea,Historical,EV sales,Cars,PHEV,2017,sales,670
Korea,Historical,EV sales,Cars,BEV,2017,sales,14000
Korea,Historical,EV sales,Cars,BEV,2018,sales,55000
Korea,Historical,EV sales,Cars,PHEV,2018,sales,4400
Korea,Historical,EV sales,Cars,PHEV,2019,sales,2700
Korea,Historical,EV sales,Cars,BEV,2019,sales,33000
Korea,Historical,EV sales,Cars,BEV,2020,sales,31000
Korea,Historical,EV sales,Cars,PHEV,2020,sales,8700
Korea,Historical,EV sales,Cars,PHEV,2021,sales,19000
Korea,Historical,EV sales,Cars,BEV,2021,sales,72000
Mexico,Historical,EV sales,Cars,BEV,2011,sales,3
Mexico,Historical,EV sales,Cars,BEV,2012,sales,88
Mexico,Historical,EV sales,Cars,BEV,2013,sales,12
Mexico,Historical,EV sales,Cars,BEV,2014,sales,48
Mexico,Historical,EV sales,Cars,BEV,2015,sales,92
Mexico,Historical,EV sales,Cars,PHEV,2015,sales,7
Mexico,Historical,EV sales,Cars,PHEV,2016,sales,520
Mexico,Historical,EV sales,Cars,BEV,2016,sales,250
Mexico,Historical,EV sales,Cars,BEV,2017,sales,230
Mexico,Historical,EV sales,Cars,PHEV,2017,sales,970
Mexico,Historical,EV sales,Cars,PHEV,2018,sales,1600
Mexico,Historical,EV sales,Cars,BEV,2018,sales,200
